,,,,,,,,,,,,,,,,,,
캐릭터 마스터 데이터,,,,,몬스터 마스터 데이터,,,,,전용스킬 마스터 데이터,,,,,자산 데이터,,,
,,,,,,,,,,,,,,,,,,
데이터명,자료형,범위,설명,,데이터명,자료형,범위,설명,,데이터명,자료형,범위,설명,,데이터명,자료형,범위,설명
캐릭터 ID,string,,캐릭터 고유 식별자,,몬스터 ID,string,,몬스터 고유 식별자,,스킬 ID,string,,스킬 고유 식별자,,자산 ID,string,,자산 고유 식별자
캐릭터 이름,string,,캐릭터 이름,,몬스터 이름,string,,몬스터 이름,,스킬 이름,string,,스킬 이름,,자산 이름,string,,자산 이름
최대 체력,int,0~999,기본 설정 체력,,등급,int,"0,1,2",일반 / 엘리트 / 보스,,타입,int,"0,1",패시브 / 고유스킬,,분류,string,,드랍아이템 / 런재화 / 로비재화
최대 스태미나,int,0~999,기본 설정 스태미나,,보유 체력,int,0~999,기본 설정 체력,,캐릭터 ID,string,,보유한 캐릭터,,획득처,int,,몬스터 / 이벤트 / 퀘스트 / 상점 / 런보상
스태미나 회복량,int,0~99,턴당 스태미나 회복량,,드랍테이블ID,string,드랍테이블 ID,처치 시 참조하는 보상 테이블,,기본 지급 여부,bool,true / false,기본 스킬 or 해금 스킬 여부,,최대 보유량,int,0~9999,최대 보유할수 있는 값
사용하는 고유자원,string,,사용하는 고유자원의 종류,,패턴 ID,string,패턴 ID,몬스터가 사용하는 패턴,,해금조건,string,조건 ID,스킬 해금 조건,,상점 사용,bool,true / false,상점에서 사용 가능 여부
최대 고유 자원,int,0~9,보유할 수 있는 최대 고유자원,,,,,,,,,,,,퀘스트 사용,bool,true / false,퀘스트에서 사용 가능 여부
이동수치,int,0~99,이동레벨 계산용 수치 값,,몬스터 스킬 구성 데이터,,,,,패시브 데이터,,,,,로비 사용,bool,true / false,로비에서 사용 가능 여부
이동레벨,int,"0,1,2",0 : 0~20 (1레벨) / 1 : 21~50 (2레벨) / 2 : 51~99( 3레벨),,,,,,,,,,,,,,,
기본 지급 여부,bool,true / false,기본 지급 캐릭터 or 해금 캐릭터인지의 여부,,데이터명,자료형,범위,설명,,데이터명,자료형,범위,설명,,퀘스트 데이터,,,
해금조건,string,조건 ID,캐릭터 해금 조건,,몬스터 ID,string,,대상 몬스터,,스킬 ID,string,,패시브 스킬 ID,,,,,
패시브,string,,기본 패시브,,보유스킬 ID 1,string,,몬스터가 보유한 스킬 1,,스킬 이름,string,,스킬 이름,,데이터명,자료형,범위,설명
고유스킬,string,,기본 고유스킬,,보유스킬 ID 2,string,,몬스터가 보유한 스킬 2,,사용하는 고유자원,string,자원 ID,사용하는 고유자원의 종류,,퀘스트 ID,string,,퀘스트 고유 식별자
일반스킬1,string,,기본 일반스킬1,,보유스킬 ID 3,string,,몬스터가 보유한 스킬 3,,자원 획득 조건,string,조건식,"자원 획득 조건(피격 시, 행동 시 등)",,퀘스트 이름,string,,퀘스트 이름
일반스킬2,string,,기본 일반스킬2,,보유스킬 ID 4,string,,몬스터가 보유한 스킬 4,,발동 조건,string,조건식,발동 조건(스택 N이상 등),,내용,string,,퀘스트 내용
캐릭터 성장 데이터,,,,,보유스킬 ID 5,string,,몬스터가 보유한 스킬 5,,효과,string,효과 ID,적용 효과,,목표 종류,string,,아이템수집 / 몬스터 처치 / 특수조건
,,,,,보유스킬 ID 6,string,,몬스터가 보유한 스킬 6,,수치,int,0~99,효과 수치,,목표 대상,int,,자산 ID / 몬스터 ID / 조건 ID
데이터명,자료형,범위,설명,,보유스킬 ID 7,string,,몬스터가 보유한 스킬 7,,,,,,,목표 수치,int,,달성해야 하는 수치 값
캐릭터 ID,string,,대상 캐릭터,,보유스킬 ID 8,string,,몬스터가 보유한 스킬 8,,고유스킬 데이터,,,,,보상 종류,int,,자산 / 경험치 / 복합보상
